"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"CMI MAINTENANCE EST";332962331;"http://www.cmigroupe.com/";;8402;8468;;;;;;;;
"ETABLISSEMENTS MAIRET";311473342;"https://www.mairet.fr/";;207;;;;;;;;;
"LA MAISON DE L'ETANCHEUR";448506287;"http://www.maisondeletancheur.com/";;;;;;;;;;1;
"MAISON DE LA LITERIE INDUSTRIES";350151197;"https://www.maisondelaliterie.fr/";;9404;6302;;;;;;;;
"EUROVIA MANAGEMENT";409526167;"https://www.eurovia.fr/";;;;;;;;;;1;
"EUROVIA MANAGEMENT";409526167;"https://www.eurovia.fr/";;;;;;;;;;1;
"MANTION";582821823;"https://www.mantion.com/en/homepage/";;8301;8302;;;;;;;;
"HENRY JULLIEN MANUFACTURE";830880639;"https://www.maison-henry-jullien.fr/";;9003;9004;;;;;;;;
"LES MANUFACTURES DE FRANCHE COMTE";407836329;"https://www.hermes.com/us/en/";;4202;4203;;;;;;;;
"LES MANUFACTURES DE FRANCHE COMTE";407836329;"https://industrie.usinenouvelle.com/fiche/etablissement/les-manufactures-de-franche-comte-60156344";;1512;;;;;;;;;
