'dept';'siren';'raison_sociale';'nature_juridique';'mode_financ';'nb_membres';'total_pop_tot';'total_pop_mun';'dep_com';'insee';'siren_membre';'nom_membre';'ptot_2021';'pmun_2021'
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01359';210103594;'Saint-Germain-sur-Renon';247;244
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01356';210103560;'Saint-Georges-sur-Renon';214;209
'01';200069193;'CC de la Dombes';'CC';'FPU';36;40014;39080;'01';'01428';210104287;'Valeins';129;128
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01263';210102638;'Montmerle-sur-Saône';3871;3783
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01348';210103487;'Saint-Didier-sur-Chalaronne';2982;2918
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01420';210104204;'Thoissey';1723;1715
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01165';210101655;'Francheleins';1636;1603
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01351';210103511;'Saint-Étienne-sur-Chalaronne';1592;1565
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01183';210101838;'Guéreins';1476;1448
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01075';210100756;'Chaleins';1391;1361
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01243';210102430;'Messimy-sur-Saône';1274;1239
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01258';210102588;'Montceaux';1221;1188
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01252';210102521;'Mogneneins';804;782
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01295';210102950;'Peyzieux-sur-Saône';689;676
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01188';210101887;'Illiat';664;645
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01167';210101671;'Garnerans';664;639
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01169';210101697;'Genouilleux';645;624
'01';200070118;'CC Val de Saône Centre';'CC';'FPU';15;21018;20564;'01';'01225';210102257;'Lurcy';386;378
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01457';210104576;'Vonnas';3138;3079
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01246';210102463;'Mézériat';2231;2195
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01179';210101796;'Grièges';1931;1879
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01343';210103438;'Saint-Cyr-sur-Menthon';1819;1779
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01134';210101341;'Crottet';1784;1739
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01306';210103065;'Pont-de-Veyle';1696;1632
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01203';210102034;'Laiz';1355;1313
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01365';210103651;'Saint-Jean-sur-Veyle';1180;1160
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01123';210101234;'Cormoranche-sur-Saône';1189;1154
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01096';210100962;'Chaveyriat';1040;1011
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01046';210100467;'Biziat';892;884
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01136';210101366;'Cruzilles-lès-Mépillat';900;880
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01084';210100848;'Chanoz-Châtenay';886;868
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01291';210102919;'Perrex';849;842
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01368';210103685;'Saint-Julien-sur-Veyle';851;836
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01334';210103347;'Saint-André-d''Huiriat';659;650
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01355';210103552;'Saint-Genis-sur-Menthon';477;470
'01';200070555;'CC de la Veyle';'CC';'FPU';18;23171;22652;'01';'01042';210100426;'Bey';294;281
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01025';200077220;'Bâgé-Dommartin';4185;4078
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01320';210103206;'Replonges';3838;3748
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01159';210101598;'Feillens';3398;3328
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01305';210103057;'Pont-de-Vaux';2278;2235
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01231';210102315;'Manziat';1997;1949
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01337';210103370;'Saint-Bénigne';1314;1288
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01323';210103230;'Reyssouze';992;978
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01026';210100269;'Bâgé-le-Châtel';1012;948
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01102';210101028;'Chevroux';962;947
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01175';210101754;'Gorrevod';833;809
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01332';210103321;'Saint-André-de-Bâgé';783;761
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01094';210100947;'Chavannes-sur-Reyssouze';767;755
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01284';210102844;'Ozan';702;689
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01402';210104022;'Sermoyer';677;657
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01352';210103529;'Saint-Étienne-sur-Reyssouze';582;576
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01057';210100574;'Boz';539;523
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01016';210100160;'Arbigny';470;461
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01050';210100509;'Boissey';355;351
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01439';210104394;'Vésines';103;99
'01';200071371;'CC Bresse et Saône';'CC';'FPU';20;25858;25251;'01';'01023';210100236;'Asnières-sur-Saône';71;71
'01';200071751;'CA du Bassin de Bourg-en-Bresse';'CA';'FPU';74;136576;132682;'01';'01053';210100533;'Bourg-en-Bresse';43006;41248
'01';200071751;'CA du Bassin de Bourg-en-Bresse';'CA';'FPU';74;136576;132682;'01';'01451';210104519;'Viriat';6705;6555
'01';200071751;'CA du Bassin de Bourg-en-Bresse';'CA';'FPU';74;136576;132682;'01';'01289';210102893;'Péronnas';6800;6509
'01';200071751;'CA du Bassin de Bourg-en-Bresse';'CA';'FPU';74;136576;132682;'01';'01344';210103446;'Saint-Denis-lès-Bourg';6010;5845
